cenario,grupo,disciplina,dist_servico,capacidade,T_age,n_reps,simulated_time,simulated_time_ci95,server_utilization,server_utilization_ci95,avg_queue_length,avg_queue_length_ci95,avg_system_length,avg_system_length_ci95,throughput,throughput_ci95,mean_wait_A,mean_wait_A_ci95,mean_wait_B,mean_wait_B_ci95,mean_wait_total,mean_wait_total_ci95,mean_sojourn_A,mean_sojourn_A_ci95,mean_sojourn_B,mean_sojourn_B_ci95,mean_sojourn_total,mean_sojourn_total_ci95,p95_wait_total,p95_wait_total_ci95,drop_rate_total,drop_rate_total_ci95,drop_rate_A,drop_rate_A_ci95,drop_rate_B,drop_rate_B_ci95,promoted_fraction_A,promoted_fraction_A_ci95
fifo_mm1,disciplinas,fifo,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.0560087250909365,0.12350205770713836,3.0509271545623777,0.11923821565495743,3.054282261626999,0.12144346970002791,4.05702840419611,0.12653433836031555,4.051163608280631,0.1241201649987884,4.055027154217102,0.12510791573112268,11.256723086434281,0.6403721951709296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prioridade_estrita,disciplinas,estrita,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,4.08208991798355,0.17781686758427415,1.0098704372957583,0.019575139879097644,3.054276340208709,0.12144503546856744,5.0832217235785135,0.1806165659062583,2.0098280734122165,0.023709448942421166,4.055021232798794,0.12510934431596643,13.104462778446406,0.5735078872282189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prioridade_dinamica,disciplinas,dinamica,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.4789942250856556,0.13348466697695252,2.209641520069694,0.10656353586262463,3.054276340208702,0.12144503546856489,4.479118748418176,0.13550445595888488,3.211638280493374,0.11264962163124975,4.055021232798806,0.125109344315963,11.554856187894467,0.6076396554716816,0.0,0.0,0.0,0.0,0.0,0.0,0.4865465274738504,0.011958296559268135
prioridade_dinamica_T1,sensibilidade_T,dinamica,exponencial,,1.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.372725285801992,0.1312900008872826,2.4209614813989293,0.10804827109760799,3.054276340208705,0.12144503546856654,4.372980502853975,0.13235214899360684,3.4226912337231203,0.1163499095536566,4.0550212327988024,0.125109344315959,11.432975973569617,0.6086849305744364,0.0,0.0,0.0,0.0,0.0,0.0,0.5960412857259357,0.011353855853167887
prioridade_dinamica_T2,sensibilidade_T,dinamica,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.4789942250856556,0.13348466697695252,2.209641520069694,0.10656353586262463,3.054276340208702,0.12144503546856489,4.479118748418176,0.13550445595888488,3.211638280493374,0.11264962163124975,4.055021232798806,0.125109344315963,11.554856187894467,0.6076396554716816,0.0,0.0,0.0,0.0,0.0,0.0,0.4865465274738504,0.011958296559268135
prioridade_dinamica_T4,sensibilidade_T,dinamica,exponencial,,4.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.64110114933466,0.13752047717089969,1.8870891589037195,0.09981112235631,3.054276340208699,0.12144503546856779,4.642342743468463,0.14059156125741532,2.886864049181336,0.10419558911782323,4.055021232798787,0.12510934431596488,11.825297809927308,0.562429953156027,0.0,0.0,0.0,0.0,0.0,0.0,0.33698535255555295,0.010520090314133047
dinamica_servico_exponencial,distribuicoes_servico,dinamica,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.4789942250856556,0.13348466697695252,2.209641520069694,0.10656353586262463,3.054276340208702,0.12144503546856489,4.479118748418176,0.13550445595888488,3.211638280493374,0.11264962163124975,4.055021232798806,0.125109344315963,11.554856187894467,0.6076396554716816,0.0,0.0,0.0,0.0,0.0,0.0,0.4865465274738504,0.011958296559268135
dinamica_servico_deterministico,distribuicoes_servico,dinamica,deterministico,,2.0,7,33404.2826695642,150.3084441452873,0.7484307355794122,0.0033730813237739738,1.1091179347925064,0.02082712117603154,1.8575486703719235,0.02297455348596532,0.7484307355794122,0.0033730813237739816,1.7899676231705377,0.024976331722205924,0.8686229333652923,0.02909122975789881,1.4817665691870343,0.024482224649296398,2.789967623170536,0.024976331722202663,1.8686229333652926,0.029091229757898875,2.4817665691870325,0.02448222464929296,5.393655385867013,0.10034664039652984,0.0,0.0,0.0,0.0,0.0,0.0,0.34525545985385653,0.003155062421775444
dinamica_servico_erlang2,distribuicoes_servico,dinamica,erlang2,,2.0,7,33404.53859011261,149.22254648611545,0.7509252349333037,0.004062169861921134,1.7148864219400655,0.03505177071788884,2.465811656873359,0.03690342603817367,0.7484246581488264,0.0033483900800877313,2.6651631143615115,0.05425029030710011,1.5472641564327652,0.03815555935748407,2.291232753267892,0.046778166329437106,3.667513372610238,0.055851430829946765,2.552568841777809,0.039329925337915864,3.2945775823630052,0.04865534258490734,8.443520848175597,0.17574291698791975,0.0,0.0,0.0,0.0,0.0,0.0,0.44236394124293843,0.0054164843843612495
dinamica_buffer_infinito,armazenamento,dinamica,exponencial,,2.0,7,33404.56316200019,150.33528337590224,0.7489936710555795,0.006499162396375196,2.2864079087006153,0.09727192830196954,3.0354015797562037,0.10228757762544384,0.7484244565463786,0.003373249104245774,3.4789942250856556,0.13348466697695252,2.209641520069694,0.10656353586262463,3.054276340208702,0.12144503546856489,4.479118748418176,0.13550445595888488,3.211638280493374,0.11264962163124975,4.055021232798806,0.125109344315963,11.554856187894467,0.6076396554716816,0.0,0.0,0.0,0.0,0.0,0.0,0.4865465274738504,0.011958296559268135
